A_PARTY,B_PARTY,START_DTTM,END_DTTM,A_NETWORK,B_NETWORK,RESERVED
9295033674,9369276597,1631106881,1631107030,Vi,Jio,
9541638260,9742741877,1591439301,1591439313,Airtel,Jio,
9651755635,9859015500,1607783442,1607783462,BSNL,Airtel,
9619859619,9240749867,1619896341,1619896489,BSNL,BSNL,
9303780971,9559702187,1609220076,1609220240,BSNL,BSNL,
9851953593,9220854608,1637426580,1637426763,Jio,Airtel,
9702550152,9735548935,1608002180,1608002375,Airtel,BSNL,
9559702187,9405680503,1644763967,1644763996,BSNL,BSNL,
9487533669,9824119947,1646415642,1646415674,Jio,BSNL,
9702550152,9897750872,1590567946,1590568094,Airtel,Airtel,
9607991391,9634673544,1633411076,1633411197,BSNL,Airtel,
9337794237,9554768463,1595402425,1595402615,Jio,BSNL,
9611894289,9729058877,1590772648,1590772750,Jio,Jio,
9773456088,9709868041,1614277463,1614277630,Airtel,Jio,
9388822224,9829484621,1615283151,1615283204,Airtel,Jio,
9557973154,9488879402,1626570416,1626570510,Vi,Vi,
9555351555,9680610188,1603977871,1603977953,BSNL,Airtel,
9578029486,9720344804,1614718546,1614718561,Vi,Airtel,
9229302801,9501353066,1643175527,1643175639,Jio,Vi,
9597432493,9240883757,1596216495,1596216625,Jio,Jio,
9890403623,9374470903,1611799166,1611799193,BSNL,BSNL,
9828885657,9593655477,1595346717,1595346770,Jio,Jio,
9813872649,9339443952,1599331002,1599331107,Jio,Airtel,
9377228733,9663709832,1632883834,1632883856,Jio,Airtel,
9483675387,9842151783,1638298555,1638298730,BSNL,BSNL,
9626627344,9647710964,1636579007,1636579043,Airtel,Airtel,
9301304526,9886553019,1648208239,1648208287,Vi,BSNL,
9295033674,9747670325,1601590917,1601591042,Vi,Jio,
9601428546,9780116924,1594670104,1594670165,Vi,Airtel,
9346779484,9597432493,1592297223,1592297322,Airtel,Jio,
9666175180,9789630244,1600719595,1600719772,Airtel,Airtel,
9388047835,9624283692,1646724008,1646724041,BSNL,Airtel,
9890403623,9528864943,1617400551,1617400706,BSNL,BSNL,
9666224210,9735548935,1611992711,1611992889,Vi,BSNL,
9756523715,9898640473,1616800350,1616800468,BSNL,Jio,
9397340693,9200876168,1593781559,1593781584,Jio,Airtel,
9781962335,9359531219,1615372777,1615372939,BSNL,BSNL,
9802358606,9770730856,1618697469,1618697520,Vi,Airtel,
9233602061,9230025412,1624606137,1624606282,Jio,Airtel,
9791500785,9749165568,1638526821,1638526936,Jio,Airtel,
9481527621,9454394468,1633747851,1633747862,Jio,Airtel,
9541638260,9220875032,1633926191,1633926327,Airtel,Airtel,
9388822224,9373373939,1594088666,1594088822,Airtel,BSNL,
9555351555,9438942320,1598706488,1598706556,BSNL,Airtel,
9818980857,9240749867,1616130217,1616130304,Jio,BSNL,
9493651599,9595775333,1648821759,1648821853,BSNL,Jio,
9209027279,9453995384,1638572080,1638572095,BSNL,Airtel,
9259705650,9883060962,1619706774,1619706857,Vi,Vi,
9229302801,9808767292,1637593099,1637593199,Jio,Airtel,
9898640473,9707168341,1622358616,1622358728,Jio,Jio,
9778448476,9709868041,1602880555,1602880611,Airtel,Jio,
9646665625,9307045157,1622590964,1622591117,Jio,Jio,
9728545090,9584203418,1595238201,1595238307,Vi,Vi,
9532956637,9851953593,1611185620,1611185764,Jio,Jio,
9324250118,9680234139,1602563616,1602563797,Vi,BSNL,
9768101780,9606501471,1600784728,1600784840,Airtel,BSNL,
9895897181,9220769519,1645363134,1645363316,Jio,BSNL,
9654524224,9823753987,1643599529,1643599665,Airtel,BSNL,
9388047835,9666472310,1600551656,1600551771,BSNL,Vi,
9828885657,9788659931,1610860079,1610860134,Jio,BSNL,
9791291523,9584203418,1610947868,1610947992,BSNL,Vi,
9347683382,9338476343,1632293646,1632293744,Vi,BSNL,
9781962335,9672590060,1630478076,1630478080,BSNL,Airtel,
9781016304,9347936683,1606735237,1606735339,Airtel,BSNL,
9376597978,9862625595,1593342840,1593343008,Vi,BSNL,
9346467170,9602075727,1594562723,1594562923,Vi,BSNL,
9469137213,9680234139,1647656393,1647656548,Jio,BSNL,
9588237746,9350635266,1592633345,1592633455,Vi,Vi,
9230025412,9220769519,1591874493,1591874621,Airtel,BSNL,
9517207773,9214158901,1618907883,1618908032,Jio,Jio,
9798977587,9829484621,1618391129,1618391296,BSNL,Jio,
9886553019,9877729242,1618249178,1618249287,BSNL,Vi,
9592930772,9369276597,1594983442,1594983614,Airtel,Jio,
9809757058,9729058877,1630554283,1630554455,Vi,Jio,
9347936683,9401033724,1631616792,1631616877,BSNL,Airtel,
9272783289,9882891885,1614599120,1614599276,Jio,Jio,
9292476642,9809757058,1619200167,1619200293,Vi,Vi,
9493651599,9829019677,1636001680,1636001839,BSNL,Jio,
9882891885,9556743201,1600357589,1600357662,Jio,Jio,
9670831784,9493651599,1607014483,1607014535,Airtel,BSNL,
9209027279,9486295327,1600413715,1600413755,BSNL,BSNL,
9230025412,9893602007,1595320791,1595320871,Airtel,BSNL,
9676322612,9489615584,1606642358,1606642488,Airtel,Airtel,
9886553019,9557973154,1644207474,1644207559,BSNL,Vi,
9595100207,9680610188,1604193762,1604193813,BSNL,Airtel,
9647910724,9605544874,1618368432,1618368561,Airtel,Vi,
9443020319,9616641863,1625555303,1625555485,BSNL,BSNL,
9467186867,9366113797,1637653104,1637653266,BSNL,Jio,
9583172173,9529932643,1600698526,1600698698,Jio,BSNL,
9602075727,9676322612,1594631611,1594631656,BSNL,Airtel,
9826706940,9627730245,1611596730,1611596878,Airtel,Jio,
9733765542,9697958617,1604984820,1604984823,Vi,Jio,
9388047835,9729058877,1596275872,1596276035,BSNL,Jio,
9639164954,9364582321,1612541457,1612541521,Vi,Jio,
9416319106,9729058877,1614391125,1614391270,Vi,Jio,
9225025908,9665412560,1610102776,1610102867,Airtel,Airtel,
9605544874,9877362273,1605131101,1605131135,Vi,Jio,
9563072002,9697958617,1593118602,1593118798,Vi,Jio,
9733765542,9755823592,1603986897,1603987073,Vi,Airtel,
9410601656,9578029486,1626505979,1626506076,Airtel,Vi,
9875263401,9747903327,1617936845,1617937034,Jio,BSNL,
9306073552,9749289186,1613195628,1613195736,Airtel,Vi,
9744414206,9532956637,1596841903,1596842030,Vi,Jio,
9825842130,9489615584,1630071819,1630071973,Vi,Airtel,
9666224210,9514900878,1636522972,1636523137,Vi,Vi,
9602075727,9229544763,1597722770,1597722814,BSNL,BSNL,
9503017228,9304630897,1644772630,1644772723,Airtel,Jio,
9584203418,9313166608,1641064625,1641064663,Vi,Airtel,
9877362273,9606501471,1613547478,1613547545,Jio,BSNL,
9897933280,9601837840,1646159126,1646159190,Airtel,Airtel,
9568794458,9638837577,1597285579,1597285581,Vi,Jio,
9350635266,9377228733,1632807066,1632807094,Vi,Jio,
9364582321,9407395177,1635206665,1635206677,Jio,Jio,
9536497998,9267482669,1588781994,1588782050,Vi,Jio,
9350324765,9354579909,1609087074,1609087165,Jio,Jio,
9484387286,9649700116,1633907281,1633907378,Vi,Airtel,
9519721735,9221851335,1590547279,1590547351,BSNL,BSNL,
9416797455,9466954659,1648774524,1648774673,BSNL,BSNL,
9342363381,9720344804,1615724030,1615724142,Jio,Airtel,
9788659931,9373911838,1645103163,1645103171,BSNL,Vi,
9235715164,9319483280,1630038013,1630038064,Airtel,Airtel,
9451710153,9493651599,1607600133,1607600235,Jio,BSNL,
9787420640,9679943568,1625744972,1625745148,Airtel,Airtel,
9373911838,9591026868,1591618005,1591618012,Vi,Airtel,
9723339874,9601837840,1611881041,1611881057,Vi,Airtel,
9364582321,9794225419,1636214585,1636214736,Jio,BSNL,
9220769519,9578029486,1612103112,1612103148,BSNL,Vi,
9852421377,9483675387,1616127577,1616127764,Jio,BSNL,
9768101780,9297035776,1609992606,1609992752,Airtel,Airtel,
9337044846,9808767292,1596215792,1596215885,Vi,Airtel,
9214158901,9338476343,1626728136,1626728324,Jio,BSNL,
9339443952,9297901066,1627301141,1627301308,Airtel,Vi,
9667204885,9875263401,1612396136,1612396265,Jio,Jio,
9330447377,9373911838,1614381571,1614381616,Jio,Vi,
9824119947,9339443952,1594104880,1594104912,BSNL,Airtel,
9744414206,9666472310,1648440689,1648440765,Vi,Vi,
9842749295,9221615756,1620754202,1620754355,BSNL,Airtel,
9762837162,9720344804,1650310357,1650310426,Vi,Airtel,
9454749783,9419783960,1589635270,1589635406,BSNL,Airtel,
9809757058,9293404891,1595260197,1595260248,Vi,BSNL,
9581668172,9591026868,1634227937,1634227999,Airtel,Airtel,
9556755227,9534451171,1621285562,1621285623,BSNL,BSNL,
9805400388,9631238356,1601833994,1601834154,Airtel,Airtel,
9398509367,9895538219,1636652665,1636652790,BSNL,BSNL,
9498825589,9363652345,1606806913,1606807104,Jio,Jio,
9589334516,9788402110,1623590263,1623590374,Airtel,Vi,
9702550152,9229058707,1593608865,1593608903,Airtel,BSNL,
9862625595,9475646366,1608000230,1608000283,BSNL,Vi,
9366999796,9483675387,1589988626,1589988627,Airtel,BSNL,
9778448476,9285862250,1589968196,1589968220,Airtel,Vi,
9469137213,9601428546,1603506831,1603506974,Jio,Vi,
9729058877,9616641863,1622588637,1622588787,Jio,BSNL,
9358752096,9360304271,1600366922,1600366992,Airtel,BSNL,
9483675387,9551620541,1618277516,1618277562,BSNL,Jio,
9303780971,9568794458,1614277566,1614277760,BSNL,Vi,
9255081020,9849698756,1591990601,1591990798,Airtel,Airtel,
9664364741,9675351200,1588964204,1588964306,Jio,Airtel,
9292077159,9337794237,1645295351,1645295468,BSNL,Jio,
9547777823,9467186867,1602932725,1602932854,BSNL,BSNL,
9614890292,9397340693,1623980706,1623980713,Airtel,Jio,
9308307569,9893602007,1636177642,1636177734,Jio,BSNL,
9487854111,9295609330,1626232581,1626232603,BSNL,Vi,
9229544763,9451710153,1642256034,1642256121,BSNL,Jio,
9484387286,9595775333,1622787394,1622787421,Vi,Jio,
9684637945,9454394468,1639248121,1639248192,Jio,Airtel,
9725913313,9493651599,1618448755,1618448817,Jio,BSNL,
9898640473,9489615584,1628444463,1628444564,Jio,Airtel,
9487854111,9491304591,1608191697,1608191856,BSNL,BSNL,
9372303655,9795381680,1599648207,1599648230,BSNL,Airtel,
9307045157,9209027279,1600858635,1600858773,Jio,BSNL,
9789630244,9733765542,1614322266,1614322330,Airtel,Vi,
9286675126,9826445625,1618055243,1618055286,Vi,Jio,
9861369598,9221615756,1633841447,1633841594,Vi,Airtel,
9454581820,9728545090,1642511056,1642511165,Airtel,Vi,
9607991391,9240883757,1604502350,1604502395,BSNL,Jio,
9829019677,9812827745,1644848562,1644848685,Jio,Jio,
9486295327,9493651599,1588493296,1588493336,BSNL,BSNL,
9697958617,9669388178,1594546104,1594546195,Jio,Vi,
9597432493,9677831097,1636637945,1636638004,Jio,Jio,
9214158901,9829750398,1604563623,1604563673,Jio,Vi,
9675752559,9733765542,1594769898,1594769984,BSNL,Vi,
9677831097,9375124330,1609802223,1609802309,Jio,Vi,
9697958617,9229302801,1628654973,1628655096,Jio,Jio,
9634673544,9626627344,1647041368,1647041557,Airtel,Airtel,
9573058194,9451710153,1611351965,1611352050,Vi,Jio,
9834743653,9898640473,1594608455,1594608471,Jio,Jio,
9818980857,9556755227,1634294267,1634294341,Jio,BSNL,
9430589436,9274815769,1590783708,1590783837,Airtel,Jio,
9346845336,9755823592,1608823597,1608823717,Airtel,Airtel,
9481527621,9483675387,1598229814,1598229874,Jio,BSNL,
9890403623,9666175180,1604920531,1604920648,BSNL,Airtel,
9666472310,9675752559,1600892961,1600893008,Vi,BSNL,
9672590060,9704584955,1632005260,1632005321,Airtel,BSNL,
9826706940,9865450535,1620601470,1620601588,Airtel,BSNL,
9285862250,9560846765,1614176230,1614176281,Vi,Jio,
9787420640,9726705989,1603227852,1603227888,Airtel,Jio,
9641037271,9749289186,1621272283,1621272284,BSNL,Vi,
9467186867,9369276597,1618431934,1618432009,BSNL,Jio,
9735548935,9611894289,1649995915,1649995959,BSNL,Jio,
9354343443,9298630905,1636599421,1636599553,BSNL,Jio,
9861098656,9666472310,1598469605,1598469762,Airtel,Vi,
9556743201,9725913313,1591557302,1591557468,Jio,Jio,
9378790289,9451710153,1588207554,1588207720,Jio,Jio,
9454394468,9267482669,1607209793,1607209839,Airtel,Jio,
9366999796,9466619376,1599099383,1599099416,Airtel,Airtel,
9390154662,9466619376,1609075211,1609075290,Vi,Airtel,
9666472310,9781016304,1645995757,1645995946,Vi,Airtel,
9577987133,9756523715,1637850168,1637850200,Jio,BSNL,
9808767292,9826445625,1607648391,1607648585,Airtel,Jio,
9807124948,9895897181,1630438698,1630438765,Airtel,Jio,
9707168341,9653711156,1636461969,1636462027,Jio,Airtel,
9372303655,9563072002,1623848697,1623848759,BSNL,Vi,
9667204885,9430589436,1630099335,1630099515,Jio,Airtel,
9654524224,9862625595,1593606725,1593606828,Airtel,BSNL,
9274815769,9302156469,1630222459,1630222533,Jio,Jio,
9829484621,9829019677,1615998144,1615998287,Jio,Jio,
9877729242,9778448476,1603788320,1603788412,Vi,Airtel,
9676322612,9454749783,1598829101,1598829226,Airtel,BSNL,
9454394468,9414340772,1588711716,1588711879,Airtel,Airtel,
9787420640,9861098656,1640352517,1640352694,Airtel,Airtel,
9780584640,9665412560,1629544227,1629544281,Airtel,Airtel,
9788402110,9646665625,1645621120,1645621317,Vi,Jio,
9615933139,9453032562,1643746855,1643747025,BSNL,Vi,
9778448476,9528864943,1614231663,1614231862,Airtel,BSNL,
9672590060,9859879540,1607247165,1607247218,Airtel,Airtel,
9813872649,9657628332,1607080305,1607080370,Jio,Airtel,
9303780971,9653236366,1587995947,1587995995,BSNL,Vi,
9302156469,9386616648,1615564715,1615564777,Jio,Airtel,
9419783960,9867275816,1621230935,1621231003,Airtel,Airtel,
9454749783,9852421377,1641866016,1641866210,BSNL,Jio,
9208687495,9726705989,1618312828,1618312830,BSNL,Jio,
9897933280,9302156469,1616233857,1616233974,Airtel,Jio,
9220769519,9554768463,1635320233,1635320273,BSNL,BSNL,
9342363381,9306073552,1605333773,1605333901,Jio,Airtel,
9777752051,9324490902,1600558443,1600558546,BSNL,Vi,
9801771270,9241745601,1627728938,1627728978,Vi,Jio,
9407395177,9487854111,1649460331,1649460335,Jio,BSNL,
9680610188,9677831097,1633265639,1633265771,Airtel,Jio,
9554858385,9818980857,1593595194,1593595272,Jio,Jio,
9615933139,9483675387,1607551035,1607551159,BSNL,BSNL,
9347936683,9409594753,1609215086,1609215132,BSNL,Jio,
9360304271,9355792304,1647208270,1647208452,BSNL,Airtel,
9358752096,9559702187,1601853656,1601853711,Airtel,BSNL,
9676322612,9607991391,1630482669,1630482681,Airtel,BSNL,
9469137213,9677831097,1607949789,1607949949,Jio,Jio,
9466954659,9256325355,1628700651,1628700755,BSNL,BSNL,
9583172173,9877729242,1639663070,1639663141,Jio,Vi,
9255081020,9779139251,1598625273,1598625305,Airtel,BSNL,
9852421377,9788402110,1601742084,1601742134,Jio,Vi,
9770730856,9593655477,1616170033,1616170125,Airtel,Jio,
9291629843,9454749783,1632193392,1632193468,BSNL,BSNL,
9648434101,9895897181,1650020133,1650020253,Jio,Jio,
9410601656,9377637930,1638827802,1638827809,Airtel,Vi,
9350635266,9487533669,1607624509,1607624537,Vi,Jio,
9401033724,9347936683,1650293578,1650293747,Airtel,BSNL,
9366999796,9753209530,1624967714,1624967913,Airtel,Vi,
9376597978,9563072002,1621219361,1621219502,Vi,Vi,
9267482669,9369276597,1628013133,1628013182,Jio,Jio,
9697958617,9781016304,1609435436,1609435456,Jio,Airtel,
9375286981,9374309525,1633905501,1633905676,Jio,Jio,
9453032562,9345345153,1606771066,1606771165,Vi,Jio,
9303780971,9888391289,1640082351,1640082393,BSNL,Jio,
9867275816,9453995384,1635659947,1635660114,Airtel,Airtel,
9663709832,9377228733,1616145167,1616145313,Airtel,Jio,
9556755227,9651755635,1600647946,1600647959,BSNL,BSNL,
9288621188,9363652345,1607579538,1607579675,Airtel,Jio,
9736501652,9214158901,1625819470,1625819656,Airtel,Jio,
9619859619,9346779484,1639708771,1639708901,BSNL,Airtel,
9252747497,9466954659,1601506076,1601506254,Jio,BSNL,
9487533669,9397340693,1592153272,1592153299,Jio,Jio,
9220854608,9756523715,1605415223,1605415226,Airtel,BSNL,
9871323841,9556743201,1641541628,1641541712,Jio,Jio,
9754770151,9483693129,1621736265,1621736287,BSNL,Jio,
9388047835,9503017228,1644120584,1644120622,BSNL,Airtel,
9788402110,9845380539,1620315955,1620316010,Vi,BSNL,
9781016304,9200876168,1619306255,1619306393,Airtel,Airtel,
9221851335,9358752096,1649843499,1649843608,BSNL,Airtel,
9481527621,9486295327,1623027606,1623027772,Jio,BSNL,
9736501652,9709868041,1639426081,1639426240,Airtel,Jio,
9220875032,9410601656,1594448449,1594448478,Airtel,Airtel,
9346467170,9220117853,1650090060,1650090165,Vi,Jio,
9577987133,9454581820,1641138282,1641138372,Jio,Airtel,
9403136102,9242731474,1593604642,1593604833,Vi,Vi,
9426474926,9791291523,1646696444,1646696485,Vi,BSNL,
9595100207,9634673544,1611053813,1611053817,BSNL,Airtel,
9501353066,9460735165,1632174924,1632175043,Vi,Jio,
9240883757,9419783960,1602830394,1602830508,Jio,Airtel,
9295609330,9410601656,1640457815,1640457981,Vi,Airtel,
9301304526,9220854608,1645192142,1645192293,Vi,Airtel,
9487533669,9649700116,1592079931,1592080105,Jio,Airtel,
9592930772,9493651599,1600768872,1600769042,Airtel,BSNL,
9705512160,9221851335,1621556408,1621556464,Airtel,BSNL,
9307045157,9648434101,1650259290,1650259477,Jio,Jio,
9366113797,9469137213,1610744744,1610744866,Jio,Jio,
9605544874,9611894289,1604987940,1604988055,Vi,Jio,
9416319106,9595775333,1642893873,1642893895,Vi,Jio,
9842151783,9483675387,1612127187,1612127299,BSNL,BSNL,
9345345153,9374309525,1638176245,1638176443,Jio,Jio,
9532956637,9861098656,1634775927,1634775972,Jio,Airtel,
9256325355,9403136102,1641335797,1641335937,BSNL,Vi,
9547777823,9419783960,1596338418,1596338602,BSNL,Airtel,
9859015500,9861846490,1599813896,1599814006,Airtel,Vi,
9453995384,9397340693,1590874376,1590874432,Airtel,Jio,
9298630905,9624283692,1588261793,1588261841,Jio,Airtel,
9233602061,9768101780,1600946397,1600946586,Jio,Airtel,
9862625595,9220875032,1642420213,1642420321,BSNL,Airtel,
9789630244,9871323841,1615445938,1615446035,Airtel,Jio,
9777752051,9358752096,1643637645,1643637666,BSNL,Airtel,
9789910881,9338476343,1624784375,1624784396,Jio,BSNL,
9602104090,9781372855,1623382557,1623382633,Vi,BSNL,
9794225419,9672590060,1645570251,1645570382,BSNL,Airtel,
9294558259,9332535308,1619360084,1619360246,BSNL,Airtel,
9519721735,9809757058,1600174541,1600174725,BSNL,Vi,
9869871302,9778448476,1633174242,1633174430,Vi,Airtel,
9809383416,9705512160,1650845161,1650845167,Airtel,Airtel,
9554858385,9529932643,1643915021,1643915119,Jio,BSNL,
9501353066,9405680503,1623307496,1623307568,Vi,BSNL,
9601837840,9657628332,1613942816,1613942828,Airtel,Airtel,
9648434101,9584203418,1643687008,1643687083,Jio,Vi,
9825842130,9534451171,1619906308,1619906473,Vi,BSNL,
9840343284,9438942320,1609621654,1609621725,Airtel,Airtel,
9536497998,9883060962,1626771088,1626771089,Vi,Vi,
9828885657,9209027279,1597524527,1597524699,Jio,BSNL,
9897933280,9426474926,1601456503,1601456566,Airtel,Vi,
9443020319,9888391289,1601208348,1601208454,BSNL,Jio,
9702550152,9528864943,1635928889,1635929059,Airtel,BSNL,
9453032562,9877362273,1603486908,1603487009,Vi,Jio,
9666472310,9454394468,1613596430,1613596520,Vi,Airtel,
9595100207,9726705989,1629729248,1629729444,BSNL,Jio,
9337263520,9577987133,1632987142,1632987286,Airtel,Jio,
9388475295,9407670457,1650304480,1650304607,BSNL,Jio,
9357978272,9295033674,1590422148,1590422302,Airtel,Vi,
9373373939,9466619376,1613521736,1613521846,BSNL,Airtel,
9560846765,9605544874,1639300024,1639300180,Jio,Vi,
9689689956,9629421274,1609625610,1609625768,Airtel,Vi,
9861369598,9376597978,1606800194,1606800368,Vi,Vi,
9555351555,9595100207,1600194391,1600194544,BSNL,BSNL,
9670831784,9638729024,1595303542,1595303729,Airtel,Airtel,
9214158901,9398509367,1599245201,1599245318,Jio,BSNL,
9627730245,9888391289,1622229156,1622229210,Jio,Jio,
9354343443,9386616648,1622284717,1622284875,BSNL,Airtel,
9733765542,9643235513,1589005399,1589005539,Vi,Jio,
9616641863,9869871302,1590107420,1590107437,BSNL,Vi,
9521152218,9791291523,1624609377,1624609443,Vi,BSNL,
9781016304,9350635266,1631057592,1631057695,Airtel,Vi,
9423610417,9388475295,1616221729,1616221883,Jio,BSNL,
9601837840,9722378749,1611771617,1611771619,Airtel,Jio,
9677831097,9602075727,1588780070,1588780192,Jio,BSNL,
9675351200,9680234139,1601568603,1601568653,Airtel,BSNL,
9744691664,9357978272,1620696704,1620696841,Airtel,Airtel,
9592930772,9409594753,1631710991,1631711079,Airtel,Jio,
9666472310,9560881383,1619913414,1619913506,Vi,BSNL,
9877362273,9733765542,1609626329,1609626525,Jio,Vi,
9484387286,9677831097,1621067094,1621067185,Vi,Jio,
9295033674,9829611007,1639197818,1639198016,Vi,BSNL,
9355036184,9517207773,1637452145,1637452233,Airtel,Jio,
9221851335,9871323841,1607311016,1607311174,BSNL,Jio,
9405680503,9479313374,1605248996,1605249177,BSNL,Vi,
9676332604,9484387286,1640634775,1640634836,Airtel,Vi,
9818980857,9780584640,1639313331,1639313531,Jio,Airtel,
9871323841,9616641863,1613503716,1613503869,Jio,BSNL,
9560881383,9809383416,1594989409,1594989473,BSNL,Airtel,
9676332604,9826232582,1626272185,1626272186,Airtel,Vi,
9220117853,9346845336,1636814241,1636814413,Jio,Airtel,
9388475295,9318058190,1626254624,1626254720,BSNL,Vi,
9217353667,9414340772,1588543966,1588544045,BSNL,Airtel,
9736501652,9896503501,1623214078,1623214263,Airtel,Jio,
9220875032,9867275816,1634347129,1634347271,Airtel,Airtel,
9709446808,9825842130,1604260328,1604260476,Airtel,Vi,
9407670457,9639164954,1606004403,1606004569,Jio,Vi,
9541638260,9778448476,1601132546,1601132602,Airtel,Airtel,
9482413687,9733765542,1619389498,1619389510,BSNL,Vi,
9789910881,9453995384,1635106401,1635106432,Jio,Airtel,
9627730245,9291629843,1595936067,1595936252,Jio,BSNL,
9286675126,9503017228,1644481370,1644481387,Vi,Airtel,
9225785341,9773456088,1643216370,1643216383,Jio,Airtel,
9631238356,9813872649,1618064793,1618064946,Airtel,Jio,
9704584955,9377228733,1638983009,1638983146,BSNL,Jio,
9416319106,9722378749,1647894468,1647894573,Vi,Jio,
9679943568,9531922484,1601058858,1601058979,Airtel,Airtel,
9726705989,9267482669,1596047487,1596047504,Jio,Jio,
9705512160,9390154662,1647450384,1647450413,Airtel,Vi,
9798977587,9240287202,1639131157,1639131173,BSNL,Vi,
9386616648,9888391289,1626424816,1626425012,Airtel,Jio,
9453032562,9339767305,1621497407,1621497519,Vi,Jio,
9868858285,9223634178,1615873593,1615873612,Jio,Vi,
9225025908,9267482669,1599171537,1599171554,Airtel,Jio,
9366113797,9651755635,1616590019,1616590199,Jio,BSNL,
9709446808,9634673544,1589831068,1589831103,Airtel,Airtel,
9303780971,9657628332,1642968166,1642968339,BSNL,Airtel,
9877362273,9680234139,1633569305,1633569505,Jio,BSNL,
9407670457,9689689956,1645011565,1645011602,Jio,Airtel,
9272783289,9342363381,1627661432,1627661597,Jio,Jio,
9324490902,9489615584,1644920550,1644920559,Vi,Airtel,
9469137213,9801771270,1602674080,1602674218,Jio,Vi,
9592930772,9343586266,1591097969,1591098001,Airtel,Vi,
9868171459,9373911838,1588316792,1588316802,BSNL,Vi,
9735548935,9294558259,1622597406,1622597507,BSNL,BSNL,
9877729242,9617376128,1612591985,1612592015,Vi,Airtel,
9423610417,9826232582,1633826607,1633826698,Jio,Vi,
9517207773,9709868041,1638604077,1638604128,Jio,Jio,
9647710964,9294558259,1608627011,1608627209,Airtel,BSNL,
9591026868,9355036184,1598655756,1598655869,Airtel,Airtel,
9702550152,9647910724,1635637015,1635637129,Airtel,Airtel,
9214158901,9868858285,1641582926,1641583125,Jio,Jio,
9778448476,9607991391,1623488112,1623488163,Airtel,BSNL,
9862625595,9339443952,1628800206,1628800364,BSNL,Airtel,
9403136102,9638729024,1642023233,1642023284,Vi,Airtel,
9861846490,9240287202,1637778801,1637778892,Vi,Vi,
9744691664,9663709832,1612675403,1612675419,Airtel,Airtel,
9302156469,9364582321,1631146954,1631147001,Jio,Jio,
9577987133,9242731474,1616031572,1616031737,Jio,Vi,
9217353667,9840343284,1603829762,1603829924,BSNL,Airtel,
9220854608,9649700116,1625122409,1625122448,Airtel,Airtel,
9779139251,9883060962,1597643809,1597643927,BSNL,Vi,
9779139251,9301304526,1600862906,1600862939,BSNL,Vi,
9639164954,9366113797,1599292332,1599292358,Vi,Jio,
9534451171,9654524224,1626426485,1626426611,BSNL,Airtel,
9229544763,9343586266,1602467412,1602467547,BSNL,Vi,
9589334516,9896503501,1616927428,1616927503,Airtel,Jio,
9409594753,9388047835,1635428863,1635429037,Jio,BSNL,
9809757058,9747670325,1612010274,1612010339,Vi,Jio,
9224586641,9416797455,1599045523,1599045655,Jio,BSNL,
9479313374,9798977587,1624776022,1624776057,Vi,BSNL,
9430589436,9588237746,1613049865,1613049976,Airtel,Vi,
9606501471,9755823592,1633239411,1633239544,BSNL,Airtel,
9214158901,9584203418,1591750945,1591751091,Jio,Vi,
